"question_id","question_type","kpi","score","max_score","predicted_option_id","correct_option_id","judge_comment","missing_terms"
"mc_01_cloud_capex_margin","multiple_choice","past_memory_restoration","1","1","B","B","정답 option과 일치한다.",""
"mc_02_free_cash_flow","multiple_choice","past_memory_restoration","1","1","C","C","정답 option과 일치한다.",""
"mc_03_guidance_variables","multiple_choice","past_memory_restoration","1","1","A","A","정답 option과 일치한다.",""
"mc_04_github_go_no_go","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_05_github_independence","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_06_monetization_path","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_07_expense_discipline","multiple_choice","decision_similarity","1","1","C","C","정답 option과 일치한다.",""
"mc_08_investor_tone","multiple_choice","decision_similarity","1","1","B","B","정답 option과 일치한다.",""
"mc_09_unknown_threshold","multiple_choice","decision_similarity","1","1","C","C","정답 option과 일치한다.",""
"subj_01_cloud_margin_bridge","subjective","past_memory_restoration","5","5","","","핵심 기준 대부분을 포함했다.",""
"subj_02_github_recommendation","subjective","future_prediction","5","5","","","핵심 기준 대부분을 포함했다.",""
"subj_03_acquisition_redline","subjective","decision_similarity","5","5","","","핵심 기준 대부분을 포함했다.",""
"subj_04_guidance_tone","subjective","decision_similarity","5","5","","","핵심 기준 대부분을 포함했다.",""
"subj_05_persona_rules","subjective","decision_similarity","5","5","","","핵심 기준 대부분을 포함했다.",""
"subj_06_missing_data_behavior","subjective","decision_similarity","5","5","","","핵심 기준 대부분을 포함했다.",""
