method,question_id,groundedness_1_5,hallucination_control_1_5,decision_rule_extraction_1_5,consistency_1_5,prompt_reusability_1_5,total_25,notes
general_rag,q1_capital_allocation,,,,,,,
general_rag,q2_ai_infra_capex,,,,,,,
general_rag,q3_margin_growth_tradeoff,,,,,,,
general_rag,q4_supply_demand_priority,,,,,,,
general_rag,q5_cashflow_risk,,,,,,,
general_rag,q6_investor_communication,,,,,,,
general_rag,q7_red_lines,,,,,,,
general_rag,q8_persona_prompt_reusability,,,,,,,
graphrag,q1_capital_allocation,,,,,,,
graphrag,q2_ai_infra_capex,,,,,,,
graphrag,q3_margin_growth_tradeoff,,,,,,,
graphrag,q4_supply_demand_priority,,,,,,,
graphrag,q5_cashflow_risk,,,,,,,
graphrag,q6_investor_communication,,,,,,,
graphrag,q7_red_lines,,,,,,,
graphrag,q8_persona_prompt_reusability,,,,,,,
