"question_id","question_type","kpi","score","max_score","predicted_option_id","correct_option_id","judge_comment","missing_terms"
"mc_01_cloud_capex_margin","multiple_choice","past_memory_restoration","1","1","B","B","정답 option과 일치한다.",""
"mc_02_free_cash_flow","multiple_choice","past_memory_restoration","1","1","C","C","정답 option과 일치한다.",""
"mc_03_guidance_variables","multiple_choice","past_memory_restoration","1","1","A","A","정답 option과 일치한다.",""
"mc_04_github_go_no_go","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_05_github_independence","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_06_monetization_path","multiple_choice","future_prediction","1","1","B","B","정답 option과 일치한다.",""
"mc_07_expense_discipline","multiple_choice","decision_similarity","1","1","C","C","정답 option과 일치한다.",""
"mc_08_investor_tone","multiple_choice","decision_similarity","1","1","B","B","정답 option과 일치한다.",""
"mc_09_unknown_threshold","multiple_choice","decision_similarity","1","1","C","C","정답 option과 일치한다.",""
"subj_01_cloud_margin_bridge","subjective","past_memory_restoration","1.4","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","고객 수요 / capacity / CapEx / free cash flow / 장기 성장"
"subj_02_github_recommendation","subjective","future_prediction","0","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","조건부 승인 / 개발자 생태계 / Azure 또는 DevOps / 장기 수익화 / 가격 부담 / 마진 또는 EPS / 커뮤니티 신뢰"
"subj_03_acquisition_redline","subjective","decision_similarity","0","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","커뮤니티 신뢰 / 사용자 유지 또는 이탈 / 비용 시너지 / 장기 플랫폼 가치 / 독립성 / 재검토 또는 중단 조건"
"subj_04_guidance_tone","subjective","decision_similarity","0.6","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","매출 성장 / 수요 신호 / capacity / CapEx / margin / free cash flow / 가이던스"
"subj_05_persona_rules","subjective","decision_similarity","1.3","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","수요 신호 / capacity / free cash flow / 확인 필요 / 인수 리스크 / 숫자 중심 커뮤니케이션"
"subj_06_missing_data_behavior","subjective","decision_similarity","0","5","","","Amy Hood식 판단 기준을 충분히 복원하지 못했다.","누락 명시 / 보조 근거 / GitHub 직접 근거 부족 / 확인 필요 / 클라우드 또는 Azure / CapEx 또는 마진"
